Query,Online_intent,Slots
基字怎么写,zh_dic_char_lookup.write_lookup,基
缠的右边,no_task,
看图写话怎么写,zh_dic_word_lookup.write_lookup,话
飞组词三个字,zh_dic_char_lookup.build_word_lookup,飞
轻怎么组词,zh_dic_char_lookup.build_word_lookup,轻
大地的地有多少笔,zh_dic_word_lookup.char_stroke_num_lookup,地
形容夏天的词语有哪些,zh_dic_meaning_lookup.word_lookup,电闪雷鸣骄阳似火绿树成荫炎热酷暑闷热烈日炎炎酷热盛夏燥热仲夏三伏
得过且过的近义词是什么,zh_dic_idiom_lookup.synonyms_lookup,得过且过
败絮其中怎么写,zh_dic_idiom_lookup.write_lookup,败絮其中
演怎么组词,zh_dic_char_lookup.build_word_lookup,演
奋力的反义词是什么,no_task,
形容冬天的成语,zh_dic_meaning_lookup.idiom_lookup,冰天雪地大雪纷飞银装素裹白雪皑皑鹅毛大雪寒冬腊月天寒地冻滴水成冰岁暮天寒山寒水冷
勇敢的勇组成语,zh_dic_word_lookup.char_build_idiom_lookup,勇
用走造句,zh_dic_char_lookup.build_sentence_lookup,走
像四四方方形式的成语,zh_dic_meaning_lookup.idiom_lookup,方方面面
有可以组什么词,zh_dic_char_lookup.build_word_lookup,有
包含羊的成语有哪些,zh_dic_char_lookup.build_idiom_lookup,羊
疑问的疑怎么写,zh_dic_word_lookup.char_write_lookup,疑
续写的意思,zh_dic_word_lookup.meaning_lookup,续写
和字怎么写,zh_dic_char_lookup.write_lookup,和
趟的部首是啥,zh_dic_char_lookup.radical_lookup,趟
能听见一根针掉在地下的声音怎么写,zh_dic_sentence_lookup.write_lookup,声音
渝字组啥词,zh_dic_char_lookup.build_word_lookup,渝
染字怎么写,zh_dic_char_lookup.write_lookup,染
非常着急来不及等待打一个成语,zh_dic_meaning_lookup.idiom_lookup,迫不及待抓耳挠腮心急如焚急于求成火烧眉毛燃眉之急心急火燎焦眉苦脸急赤白脸心如火焚急于事功以日为年
一把什么,chat.default_tts,
视察是什么意思,zh_dic_word_lookup.meaning_lookup,视察
西西瓜的西的笔画,zh_dic_word_lookup.char_write_lookup,西
经常造句,zh_dic_word_lookup.build_sentence_lookup,经常
冰窖的窖怎么写,zh_dic_word_lookup.char_write_lookup,窖
遍地的遍组成语,zh_dic_word_lookup.char_build_idiom_lookup,遍
肯的部首,zh_dic_char_lookup.radical_lookup,肯
亭亭玉立的意思,zh_dic_idiom_lookup.meaning_lookup,亭亭玉立
一开头的成语有哪些,zh_dic_include_lookup.idiom_prefix_lookup,一丝不苟一心一意一本正经一望无际一模一样一鸣惊人一箭双雕一尘不染一年一度一帆风顺一见钟情一针见血一清二白一石二鸟一如既往一叶障目一诺千金一刹那一叶知秋一无所有
围魏救赵讲的是啥,faq,围魏救赵是谁
三字怎么写,zh_dic_char_lookup.write_lookup,三
ABCC的词语有哪些,zh_dic_format_lookup.word_ABC_lookup,兴致勃勃生机勃勃小心翼翼气喘吁吁波光粼粼威风凛凛得意洋洋生气勃勃文质彬彬大名鼎鼎其乐融融果实累累喜气洋洋神采奕奕相貌堂堂大腹便便白雪皑皑虎视眈眈逃之夭夭怒气冲冲
应该怎么写的,zh_dic_word_lookup.write_lookup,应该
三个像头头是道的成语,no_task,
换咋写,zh_dic_char_lookup.write_lookup,换
你好怎么读,functional.application,
重重是什么意思,zh_dic_word_lookup.meaning_lookup,重重
表示心情的有什么词语,zh_dic_meaning_lookup.word_lookup,迫不及待垂头丧气心花怒放提心吊胆忐忑不安闷闷不乐喜出望外心急如焚悲痛欲绝痛不欲生泣不成声喜上眉梢心灰意冷黯然神伤喜形于色高兴开心兴奋难过焦急
我好惊讶的惊怎么写,zh_dic_word_lookup.char_write_lookup,惊
麻辣怎么读,zh_dic_word_lookup.spell_lookup,麻辣
第怎么写不是的,zh_dic_char_lookup.write_lookup,的
这该怎么写,functional.application,
喧哗怎么写,zh_dic_word_lookup.write_lookup,喧哗
要不然的然有多少笔,zh_dic_word_lookup.char_stroke_num_lookup,然
含可以组什么词,zh_dic_char_lookup.build_word_lookup,含
沉寂的寂怎么写,zh_dic_word_lookup.char_write_lookup,沉寂 的 寂陈迹 的 迹
鼻子的鼻怎么写,zh_dic_word_lookup.char_write_lookup,鼻
